indicator,country,code,Year,Value
Prevalence of overweight (% of adults),Upper middle income,UMC,2005,32.146
Prevalence of overweight (% of adults),Upper middle income,UMC,2004,31.443
Prevalence of overweight (% of adults),Upper middle income,UMC,2003,30.742
Prevalence of overweight (% of adults),Upper middle income,UMC,2002,30.056
Prevalence of overweight (% of adults),Upper middle income,UMC,2001,29.368
Prevalence of overweight (% of adults),Upper middle income,UMC,2000,28.69
Prevalence of overweight (% of adults),Upper middle income,UMC,1999,28.012
Prevalence of overweight (% of adults),Upper middle income,UMC,1998,27.332
Prevalence of overweight (% of adults),Upper middle income,UMC,1997,26.655
Prevalence of overweight (% of adults),Upper middle income,UMC,1996,25.984
Prevalence of overweight (% of adults),Upper middle income,UMC,1995,25.313
Prevalence of overweight (% of adults),Upper middle income,UMC,1994,24.65
Prevalence of overweight (% of adults),Upper middle income,UMC,1993,24
Prevalence of overweight (% of adults),Upper middle income,UMC,1992,23.35
Prevalence of overweight (% of adults),Upper middle income,UMC,1991,22.719
Prevalence of overweight (% of adults),Upper middle income,UMC,1990,22.111
Prevalence of overweight (% of adults),World,WLD,2016,38.9
Prevalence of overweight (% of adults),World,WLD,2015,38.4
Prevalence of overweight (% of adults),World,WLD,2014,37.8
Prevalence of overweight (% of adults),World,WLD,2013,37.3
Prevalence of overweight (% of adults),World,WLD,2012,36.7
Prevalence of overweight (% of adults),World,WLD,2011,36.2
Prevalence of overweight (% of adults),World,WLD,2010,35.7
Prevalence of overweight (% of adults),World,WLD,2009,35.2
Prevalence of overweight (% of adults),World,WLD,2008,34.6
Prevalence of overweight (% of adults),World,WLD,2007,34.1
Prevalence of overweight (% of adults),World,WLD,2006,33.6
Prevalence of overweight (% of adults),World,WLD,2005,33.1
Prevalence of overweight (% of adults),World,WLD,2004,32.6
Prevalence of overweight (% of adults),World,WLD,2003,32.1
Prevalence of overweight (% of adults),World,WLD,2002,31.7
Prevalence of overweight (% of adults),World,WLD,2001,31.2
Prevalence of overweight (% of adults),World,WLD,2000,30.8
Prevalence of overweight (% of adults),World,WLD,1999,30.3
Prevalence of overweight (% of adults),World,WLD,1998,29.9
Prevalence of overweight (% of adults),World,WLD,1997,29.5
Prevalence of overweight (% of adults),World,WLD,1996,29.1
Prevalence of overweight (% of adults),World,WLD,1995,28.6
Prevalence of overweight (% of adults),World,WLD,1994,28.3
Prevalence of overweight (% of adults),World,WLD,1993,27.9
Prevalence of overweight (% of adults),World,WLD,1992,27.5
Prevalence of overweight (% of adults),World,WLD,1991,27.1
Prevalence of overweight (% of adults),World,WLD,1990,26.7
Prevalence of overweight (% of adults),World,WLD,1989,26.3
Prevalence of overweight (% of adults),World,WLD,1988,26
Prevalence of overweight (% of adults),World,WLD,1987,25.6
Prevalence of overweight (% of adults),World,WLD,1986,25.2
Prevalence of overweight (% of adults),World,WLD,1985,24.9
Prevalence of overweight (% of adults),World,WLD,1984,24.5
Prevalence of overweight (% of adults),World,WLD,1983,24.1
Prevalence of overweight (% of adults),World,WLD,1982,23.8
Prevalence of overweight (% of adults),World,WLD,1981,23.4
Prevalence of overweight (% of adults),World,WLD,1980,23.1
Prevalence of overweight (% of adults),World,WLD,1979,22.8
Prevalence of overweight (% of adults),World,WLD,1978,22.5
Prevalence of overweight (% of adults),World,WLD,1977,22.1
Prevalence of overweight (% of adults),World,WLD,1976,21.8
Prevalence of overweight (% of adults),World,WLD,1975,21.5
Prevalence of overweight (% of adults),Afghanistan,AFG,2022,48.57
Prevalence of overweight (% of adults),Afghanistan,AFG,2021,46.98
Prevalence of overweight (% of adults),Afghanistan,AFG,2020,45.38
Prevalence of overweight (% of adults),Afghanistan,AFG,2019,43.77
Prevalence of overweight (% of adults),Afghanistan,AFG,2018,42.15
Prevalence of overweight (% of adults),Afghanistan,AFG,2017,40.52
Prevalence of overweight (% of adults),Afghanistan,AFG,2016,38.89
Prevalence of overweight (% of adults),Afghanistan,AFG,2015,37.27
Prevalence of overweight (% of adults),Afghanistan,AFG,2014,35.69
Prevalence of overweight (% of adults),Afghanistan,AFG,2013,34.15
Prevalence of overweight (% of adults),Afghanistan,AFG,2012,32.66
Prevalence of overweight (% of adults),Afghanistan,AFG,2011,31.21
Prevalence of overweight (% of adults),Afghanistan,AFG,2010,29.8
Prevalence of overweight (% of adults),Afghanistan,AFG,2009,28.44
Prevalence of overweight (% of adults),Afghanistan,AFG,2008,27.1
Prevalence of overweight (% of adults),Afghanistan,AFG,2007,25.81
Prevalence of overweight (% of adults),Afghanistan,AFG,2006,24.55
Prevalence of overweight (% of adults),Afghanistan,AFG,2005,23.33
Prevalence of overweight (% of adults),Afghanistan,AFG,2004,22.15
Prevalence of overweight (% of adults),Afghanistan,AFG,2003,21.01
Prevalence of overweight (% of adults),Afghanistan,AFG,2002,19.91
Prevalence of overweight (% of adults),Afghanistan,AFG,2001,18.86
Prevalence of overweight (% of adults),Afghanistan,AFG,2000,17.85
Prevalence of overweight (% of adults),Afghanistan,AFG,1999,16.89
Prevalence of overweight (% of adults),Afghanistan,AFG,1998,15.97
Prevalence of overweight (% of adults),Afghanistan,AFG,1997,15.09
Prevalence of overweight (% of adults),Afghanistan,AFG,1996,14.27
Prevalence of overweight (% of adults),Afghanistan,AFG,1995,13.48
Prevalence of overweight (% of adults),Afghanistan,AFG,1994,12.74
Prevalence of overweight (% of adults),Afghanistan,AFG,1993,12.04
Prevalence of overweight (% of adults),Afghanistan,AFG,1992,11.37
Prevalence of overweight (% of adults),Afghanistan,AFG,1991,10.74
Prevalence of overweight (% of adults),Afghanistan,AFG,1990,10.13
Prevalence of overweight (% of adults),Albania,ALB,2022,62.16
Prevalence of overweight (% of adults),Albania,ALB,2021,61.74
Prevalence of overweight (% of adults),Albania,ALB,2020,61.33
Prevalence of overweight (% of adults),Albania,ALB,2019,60.93
Prevalence of overweight (% of adults),Albania,ALB,2018,60.52
Prevalence of overweight (% of adults),Albania,ALB,2017,60.11
Prevalence of overweight (% of adults),Albania,ALB,2016,59.7
Prevalence of overweight (% of adults),Albania,ALB,2015,59.27
Prevalence of overweight (% of adults),Albania,ALB,2014,58.85
Prevalence of overweight (% of adults),Albania,ALB,2013,58.44
Prevalence of overweight (% of adults),Albania,ALB,2012,58.02
Prevalence of overweight (% of adults),Albania,ALB,2011,57.6
Prevalence of overweight (% of adults),Albania,ALB,2010,57.16
Prevalence of overweight (% of adults),Albania,ALB,2009,56.71
Prevalence of overweight (% of adults),Albania,ALB,2008,56.25
Prevalence of overweight (% of adults),Albania,ALB,2007,55.78
Prevalence of overweight (% of adults),Albania,ALB,2006,55.3
Prevalence of overweight (% of adults),Albania,ALB,2005,54.81
Prevalence of overweight (% of adults),Albania,ALB,2004,54.34
Prevalence of overweight (% of adults),Albania,ALB,2003,53.87
Prevalence of overweight (% of adults),Albania,ALB,2002,53.41
Prevalence of overweight (% of adults),Albania,ALB,2001,52.97
Prevalence of overweight (% of adults),Albania,ALB,2000,52.56
Prevalence of overweight (% of adults),Albania,ALB,1999,52.18
Prevalence of overweight (% of adults),Albania,ALB,1998,51.84
Prevalence of overweight (% of adults),Albania,ALB,1997,51.52
Prevalence of overweight (% of adults),Albania,ALB,1996,51.24
Prevalence of overweight (% of adults),Albania,ALB,1995,50.99
Prevalence of overweight (% of adults),Albania,ALB,1994,50.75
Prevalence of overweight (% of adults),Albania,ALB,1993,50.52
Prevalence of overweight (% of adults),Albania,ALB,1992,50.29
Prevalence of overweight (% of adults),Albania,ALB,1991,50.07
Prevalence of overweight (% of adults),Albania,ALB,1990,49.84
Prevalence of overweight (% of adults),Algeria,DZA,2022,57.62
Prevalence of overweight (% of adults),Algeria,DZA,2021,56.94
Prevalence of overweight (% of adults),Algeria,DZA,2020,56.26
Prevalence of overweight (% of adults),Algeria,DZA,2019,55.58
Prevalence of overweight (% of adults),Algeria,DZA,2018,54.89
Prevalence of overweight (% of adults),Algeria,DZA,2017,54.19
Prevalence of overweight (% of adults),Algeria,DZA,2016,53.46
Prevalence of overweight (% of adults),Algeria,DZA,2015,52.71
Prevalence of overweight (% of adults),Algeria,DZA,2014,51.97
Prevalence of overweight (% of adults),Algeria,DZA,2013,51.23
Prevalence of overweight (% of adults),Algeria,DZA,2012,50.49
Prevalence of overweight (% of adults),Algeria,DZA,2011,49.77
Prevalence of overweight (% of adults),Algeria,DZA,2010,49.05
Prevalence of overweight (% of adults),Algeria,DZA,2009,48.34
Prevalence of overweight (% of adults),Algeria,DZA,2008,47.64
Prevalence of overweight (% of adults),Algeria,DZA,2007,46.95
Prevalence of overweight (% of adults),Algeria,DZA,2006,46.26
Prevalence of overweight (% of adults),Algeria,DZA,2005,45.57
Prevalence of overweight (% of adults),Algeria,DZA,2004,44.87
Prevalence of overweight (% of adults),Algeria,DZA,2003,44.17
Prevalence of overweight (% of adults),Algeria,DZA,2002,43.46
Prevalence of overweight (% of adults),Algeria,DZA,2001,42.76
Prevalence of overweight (% of adults),Algeria,DZA,2000,42.06
Prevalence of overweight (% of adults),Algeria,DZA,1999,41.36
Prevalence of overweight (% of adults),Algeria,DZA,1998,40.67
Prevalence of overweight (% of adults),Algeria,DZA,1997,40.02
Prevalence of overweight (% of adults),Algeria,DZA,1996,39.4
Prevalence of overweight (% of adults),Algeria,DZA,1995,38.79
Prevalence of overweight (% of adults),Algeria,DZA,1994,38.18
Prevalence of overweight (% of adults),Algeria,DZA,1993,37.59
Prevalence of overweight (% of adults),Algeria,DZA,1992,37.02
Prevalence of overweight (% of adults),Algeria,DZA,1991,36.45
Prevalence of overweight (% of adults),Algeria,DZA,1990,35.91
Prevalence of overweight (% of adults),American Samoa,ASM,2022,91.41
Prevalence of overweight (% of adults),American Samoa,ASM,2021,91.37
Prevalence of overweight (% of adults),American Samoa,ASM,2020,91.33
Prevalence of overweight (% of adults),American Samoa,ASM,2019,91.28
Prevalence of overweight (% of adults),American Samoa,ASM,2018,91.25
Prevalence of overweight (% of adults),American Samoa,ASM,2017,91.2
Prevalence of overweight (% of adults),American Samoa,ASM,2016,91.14
Prevalence of overweight (% of adults),American Samoa,ASM,2015,91.09
Prevalence of overweight (% of adults),American Samoa,ASM,2014,91.05
Prevalence of overweight (% of adults),American Samoa,ASM,2013,91
Prevalence of overweight (% of adults),American Samoa,ASM,2012,90.95
Prevalence of overweight (% of adults),American Samoa,ASM,2011,90.9
Prevalence of overweight (% of adults),American Samoa,ASM,2010,90.85
Prevalence of overweight (% of adults),American Samoa,ASM,2009,90.78
Prevalence of overweight (% of adults),American Samoa,ASM,2008,90.73
Prevalence of overweight (% of adults),American Samoa,ASM,2007,90.67
Prevalence of overweight (% of adults),American Samoa,ASM,2006,90.6
Prevalence of overweight (% of adults),American Samoa,ASM,2005,90.53
Prevalence of overweight (% of adults),American Samoa,ASM,2004,90.46
Prevalence of overweight (% of adults),American Samoa,ASM,2003,90.39
Prevalence of overweight (% of adults),American Samoa,ASM,2002,90.31
Prevalence of overweight (% of adults),American Samoa,ASM,2001,90.22
Prevalence of overweight (% of adults),American Samoa,ASM,2000,90.13
Prevalence of overweight (% of adults),American Samoa,ASM,1999,90.01
Prevalence of overweight (% of adults),American Samoa,ASM,1998,89.88
Prevalence of overweight (% of adults),American Samoa,ASM,1997,89.73
Prevalence of overweight (% of adults),American Samoa,ASM,1996,89.56
Prevalence of overweight (% of adults),American Samoa,ASM,1995,89.37
Prevalence of overweight (% of adults),American Samoa,ASM,1994,89.15
Prevalence of overweight (% of adults),American Samoa,ASM,1993,88.89
Prevalence of overweight (% of adults),American Samoa,ASM,1992,88.59
Prevalence of overweight (% of adults),American Samoa,ASM,1991,88.24
Prevalence of overweight (% of adults),American Samoa,ASM,1990,87.84
Prevalence of overweight (% of adults),Andorra,AND,2022,48.17
Prevalence of overweight (% of adults),Andorra,AND,2021,48.16
Prevalence of overweight (% of adults),Andorra,AND,2020,48.14
Prevalence of overweight (% of adults),Andorra,AND,2019,48.13
Prevalence of overweight (% of adults),Andorra,AND,2018,48.13
Prevalence of overweight (% of adults),Andorra,AND,2017,48.12
Prevalence of overweight (% of adults),Andorra,AND,2016,48.11
Prevalence of overweight (% of adults),Andorra,AND,2015,48.12
Prevalence of overweight (% of adults),Andorra,AND,2014,48.15
Prevalence of overweight (% of adults),Andorra,AND,2013,48.2
Prevalence of overweight (% of adults),Andorra,AND,2012,48.24
Prevalence of overweight (% of adults),Andorra,AND,2011,48.26
Prevalence of overweight (% of adults),Andorra,AND,2010,48.3
Prevalence of overweight (% of adults),Andorra,AND,2009,48.32
Prevalence of overweight (% of adults),Andorra,AND,2008,48.3
Prevalence of overweight (% of adults),Andorra,AND,2007,48.23
Prevalence of overweight (% of adults),Andorra,AND,2006,48.11
Prevalence of overweight (% of adults),Andorra,AND,2005,47.91
Prevalence of overweight (% of adults),Andorra,AND,2004,47.64
Prevalence of overweight (% of adults),Andorra,AND,2003,47.33
Prevalence of overweight (% of adults),Andorra,AND,2002,47
Prevalence of overweight (% of adults),Andorra,AND,2001,46.65
Prevalence of overweight (% of adults),Andorra,AND,2000,46.31
Prevalence of overweight (% of adults),Andorra,AND,1999,45.99
Prevalence of overweight (% of adults),Andorra,AND,1998,45.66
Prevalence of overweight (% of adults),Andorra,AND,1997,45.34
Prevalence of overweight (% of adults),Andorra,AND,1996,45.02
Prevalence of overweight (% of adults),Andorra,AND,1995,44.72
Prevalence of overweight (% of adults),Andorra,AND,1994,44.43
Prevalence of overweight (% of adults),Andorra,AND,1993,44.17
Prevalence of overweight (% of adults),Andorra,AND,1992,43.92
Prevalence of overweight (% of adults),Andorra,AND,1991,43.69
Prevalence of overweight (% of adults),Andorra,AND,1990,43.46
Prevalence of overweight (% of adults),Angola,AGO,2022,31.78
Prevalence of overweight (% of adults),Angola,AGO,2021,31.25
Prevalence of overweight (% of adults),Angola,AGO,2020,30.73
Prevalence of overweight (% of adults),Angola,AGO,2019,30.22
Prevalence of overweight (% of adults),Angola,AGO,2018,29.73
Prevalence of overweight (% of adults),Angola,AGO,2017,29.25
Prevalence of overweight (% of adults),Angola,AGO,2016,28.77
Prevalence of overweight (% of adults),Angola,AGO,2015,28.31
Prevalence of overweight (% of adults),Angola,AGO,2014,27.85
Prevalence of overweight (% of adults),Angola,AGO,2013,27.4
Prevalence of overweight (% of adults),Angola,AGO,2012,26.96
Prevalence of overweight (% of adults),Angola,AGO,2011,26.5
Prevalence of overweight (% of adults),Angola,AGO,2010,26.03
Prevalence of overweight (% of adults),Angola,AGO,2009,25.53
Prevalence of overweight (% of adults),Angola,AGO,2008,25
Prevalence of overweight (% of adults),Angola,AGO,2007,24.43
Prevalence of overweight (% of adults),Angola,AGO,2006,23.84
Prevalence of overweight (% of adults),Angola,AGO,2005,23.22
Prevalence of overweight (% of adults),Angola,AGO,2004,22.58
Prevalence of overweight (% of adults),Angola,AGO,2003,21.93
Prevalence of overweight (% of adults),Angola,AGO,2002,21.26
Prevalence of overweight (% of adults),Angola,AGO,2001,20.59
Prevalence of overweight (% of adults),Angola,AGO,2000,19.92
Prevalence of overweight (% of adults),Angola,AGO,1999,19.26
Prevalence of overweight (% of adults),Angola,AGO,1998,18.6
Prevalence of overweight (% of adults),Angola,AGO,1997,17.97
Prevalence of overweight (% of adults),Angola,AGO,1996,17.35
Prevalence of overweight (% of adults),Angola,AGO,1995,16.74
Prevalence of overweight (% of adults),Angola,AGO,1994,16.15
Prevalence of overweight (% of adults),Angola,AGO,1993,15.57
Prevalence of overweight (% of adults),Angola,AGO,1992,15
Prevalence of overweight (% of adults),Angola,AGO,1991,14.45
Prevalence of overweight (% of adults),Angola,AGO,1990,13.91
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2022,62.67
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2021,62.1
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2020,61.53
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2019,60.96
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2018,60.38
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2017,59.8
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2016,59.2
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2015,58.6
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2014,57.99
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2013,57.37
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2012,56.73
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2011,56.07
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2010,55.38
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2009,54.67
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2008,53.92
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2007,53.15
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2006,52.35
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2005,51.53
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2004,50.68
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2003,49.8
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2002,48.89
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2001,47.95
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,2000,46.98
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,1999,45.99
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,1998,44.98
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,1997,43.97
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,1996,42.97
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,1995,41.99
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,1994,41.03
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,1993,40.09
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,1992,39.16
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,1991,38.27
Prevalence of overweight (% of adults),Antigua and Barbuda,ATG,1990,37.43
Prevalence of overweight (% of adults),Argentina,ARG,2022,68.42
Prevalence of overweight (% of adults),Argentina,ARG,2021,67.63
Prevalence of overweight (% of adults),Argentina,ARG,2020,66.84
Prevalence of overweight (% of adults),Argentina,ARG,2019,66.05
Prevalence of overweight (% of adults),Argentina,ARG,2018,65.26
Prevalence of overweight (% of adults),Argentina,ARG,2017,64.47
Prevalence of overweight (% of adults),Argentina,ARG,2016,63.67
Prevalence of overweight (% of adults),Argentina,ARG,2015,62.87
Prevalence of overweight (% of adults),Argentina,ARG,2014,62.07
Prevalence of overweight (% of adults),Argentina,ARG,2013,61.28
Prevalence of overweight (% of adults),Argentina,ARG,2012,60.49
Prevalence of overweight (% of adults),Argentina,ARG,2011,59.7
Prevalence of overweight (% of adults),Argentina,ARG,2010,58.93
Prevalence of overweight (% of adults),Argentina,ARG,2009,58.17
Prevalence of overweight (% of adults),Argentina,ARG,2008,57.43
Prevalence of overweight (% of adults),Argentina,ARG,2007,56.7
Prevalence of overweight (% of adults),Argentina,ARG,2006,55.97
Prevalence of overweight (% of adults),Argentina,ARG,2005,55.26
Prevalence of overweight (% of adults),Argentina,ARG,2004,54.54
Prevalence of overweight (% of adults),Argentina,ARG,2003,53.81
Prevalence of overweight (% of adults),Argentina,ARG,2002,53.09
Prevalence of overweight (% of adults),Argentina,ARG,2001,52.35
Prevalence of overweight (% of adults),Argentina,ARG,2000,51.6
Prevalence of overweight (% of adults),Argentina,ARG,1999,50.82
Prevalence of overweight (% of adults),Argentina,ARG,1998,50.02
Prevalence of overweight (% of adults),Argentina,ARG,1997,49.22
Prevalence of overweight (% of adults),Argentina,ARG,1996,48.4
Prevalence of overweight (% of adults),Argentina,ARG,1995,47.58
Prevalence of overweight (% of adults),Argentina,ARG,1994,46.75
Prevalence of overweight (% of adults),Argentina,ARG,1993,45.93
Prevalence of overweight (% of adults),Argentina,ARG,1992,45.1
Prevalence of overweight (% of adults),Argentina,ARG,1991,44.26
Prevalence of overweight (% of adults),Argentina,ARG,1990,43.43
Prevalence of overweight (% of adults),Armenia,ARM,2022,55.43
Prevalence of overweight (% of adults),Armenia,ARM,2021,54.97
Prevalence of overweight (% of adults),Armenia,ARM,2020,54.52
Prevalence of overweight (% of adults),Armenia,ARM,2019,54.07
Prevalence of overweight (% of adults),Armenia,ARM,2018,53.62
Prevalence of overweight (% of adults),Armenia,ARM,2017,53.17
Prevalence of overweight (% of adults),Armenia,ARM,2016,52.71
Prevalence of overweight (% of adults),Armenia,ARM,2015,52.24
Prevalence of overweight (% of adults),Armenia,ARM,2014,51.75
Prevalence of overweight (% of adults),Armenia,ARM,2013,51.26
Prevalence of overweight (% of adults),Armenia,ARM,2012,50.75
Prevalence of overweight (% of adults),Armenia,ARM,2011,50.23
Prevalence of overweight (% of adults),Armenia,ARM,2010,49.7
Prevalence of overweight (% of adults),Armenia,ARM,2009,49.16
Prevalence of overweight (% of adults),Armenia,ARM,2008,48.61
Prevalence of overweight (% of adults),Armenia,ARM,2007,48.05
Prevalence of overweight (% of adults),Armenia,ARM,2006,47.48
Prevalence of overweight (% of adults),Armenia,ARM,2005,46.91
Prevalence of overweight (% of adults),Armenia,ARM,2004,46.34
Prevalence of overweight (% of adults),Armenia,ARM,2003,45.76
Prevalence of overweight (% of adults),Armenia,ARM,2002,45.18
Prevalence of overweight (% of adults),Armenia,ARM,2001,44.6
Prevalence of overweight (% of adults),Armenia,ARM,2000,44.02
Prevalence of overweight (% of adults),Armenia,ARM,1999,43.44
Prevalence of overweight (% of adults),Armenia,ARM,1998,42.86
Prevalence of overweight (% of adults),Armenia,ARM,1997,42.29
Prevalence of overweight (% of adults),Armenia,ARM,1996,41.72
Prevalence of overweight (% of adults),Armenia,ARM,1995,41.15
Prevalence of overweight (% of adults),Armenia,ARM,1994,40.59
Prevalence of overweight (% of adults),Armenia,ARM,1993,40.02
Prevalence of overweight (% of adults),Armenia,ARM,1992,39.45
Prevalence of overweight (% of adults),Armenia,ARM,1991,38.9
Prevalence of overweight (% of adults),Armenia,ARM,1990,38.38
Prevalence of overweight (% of adults),Australia,AUS,2022,63.96
Prevalence of overweight (% of adults),Australia,AUS,2021,63.64
Prevalence of overweight (% of adults),Australia,AUS,2020,63.32
Prevalence of overweight (% of adults),Australia,AUS,2019,63
Prevalence of overweight (% of adults),Australia,AUS,2018,62.69
Prevalence of overweight (% of adults),Australia,AUS,2017,62.38
Prevalence of overweight (% of adults),Australia,AUS,2016,62.06
Prevalence of overweight (% of adults),Australia,AUS,2015,61.75
Prevalence of overweight (% of adults),Australia,AUS,2014,61.46
Prevalence of overweight (% of adults),Australia,AUS,2013,61.19
Prevalence of overweight (% of adults),Australia,AUS,2012,60.92
Prevalence of overweight (% of adults),Australia,AUS,2011,60.66
Prevalence of overweight (% of adults),Australia,AUS,2010,60.38
Prevalence of overweight (% of adults),Australia,AUS,2009,60.07
Prevalence of overweight (% of adults),Australia,AUS,2008,59.72
Prevalence of overweight (% of adults),Australia,AUS,2007,59.33
Prevalence of overweight (% of adults),Australia,AUS,2006,58.89
Prevalence of overweight (% of adults),Australia,AUS,2005,58.42
Prevalence of overweight (% of adults),Australia,AUS,2004,57.9
Prevalence of overweight (% of adults),Australia,AUS,2003,57.33
Prevalence of overweight (% of adults),Australia,AUS,2002,56.72
Prevalence of overweight (% of adults),Australia,AUS,2001,56.06
Prevalence of overweight (% of adults),Australia,AUS,2000,55.34
Prevalence of overweight (% of adults),Australia,AUS,1999,54.59
Prevalence of overweight (% of adults),Australia,AUS,1998,53.8
Prevalence of overweight (% of adults),Australia,AUS,1997,52.96
Prevalence of overweight (% of adults),Australia,AUS,1996,52.07
Prevalence of overweight (% of adults),Australia,AUS,1995,51.14
Prevalence of overweight (% of adults),Australia,AUS,1994,50.16
Prevalence of overweight (% of adults),Australia,AUS,1993,49.14
Prevalence of overweight (% of adults),Australia,AUS,1992,48.09
Prevalence of overweight (% of adults),Australia,AUS,1991,47.02
Prevalence of overweight (% of adults),Australia,AUS,1990,45.92
Prevalence of overweight (% of adults),Austria,AUT,2022,44.99
Prevalence of overweight (% of adults),Austria,AUT,2021,44.92
Prevalence of overweight (% of adults),Austria,AUT,2020,44.85
Prevalence of overweight (% of adults),Austria,AUT,2019,44.8
Prevalence of overweight (% of adults),Austria,AUT,2018,44.75
Prevalence of overweight (% of adults),Austria,AUT,2017,44.7
Prevalence of overweight (% of adults),Austria,AUT,2016,44.65
Prevalence of overweight (% of adults),Austria,AUT,2015,44.59
Prevalence of overweight (% of adults),Austria,AUT,2014,44.55
Prevalence of overweight (% of adults),Austria,AUT,2013,44.54
Prevalence of overweight (% of adults),Austria,AUT,2012,44.55
Prevalence of overweight (% of adults),Austria,AUT,2011,44.56
Prevalence of overweight (% of adults),Austria,AUT,2010,44.56
Prevalence of overweight (% of adults),Austria,AUT,2009,44.54
Prevalence of overweight (% of adults),Austria,AUT,2008,44.49
Prevalence of overweight (% of adults),Austria,AUT,2007,44.4
Prevalence of overweight (% of adults),Austria,AUT,2006,44.27
Prevalence of overweight (% of adults),Austria,AUT,2005,44.1
Prevalence of overweight (% of adults),Austria,AUT,2004,43.9
Prevalence of overweight (% of adults),Austria,AUT,2003,43.67
Prevalence of overweight (% of adults),Austria,AUT,2002,43.43
Prevalence of overweight (% of adults),Austria,AUT,2001,43.16
Prevalence of overweight (% of adults),Austria,AUT,2000,42.88
Prevalence of overweight (% of adults),Austria,AUT,1999,42.58
Prevalence of overweight (% of adults),Austria,AUT,1998,42.27
Prevalence of overweight (% of adults),Austria,AUT,1997,41.96
Prevalence of overweight (% of adults),Austria,AUT,1996,41.65
Prevalence of overweight (% of adults),Austria,AUT,1995,41.33
Prevalence of overweight (% of adults),Austria,AUT,1994,41.02
Prevalence of overweight (% of adults),Austria,AUT,1993,40.7
Prevalence of overweight (% of adults),Austria,AUT,1992,40.4
Prevalence of overweight (% of adults),Austria,AUT,1991,40.09
Prevalence of overweight (% of adults),Austria,AUT,1990,39.78
Prevalence of overweight (% of adults),Azerbaijan,AZE,2022,61.68
Prevalence of overweight (% of adults),Azerbaijan,AZE,2021,61.22
Prevalence of overweight (% of adults),Azerbaijan,AZE,2020,60.75
Prevalence of overweight (% of adults),Azerbaijan,AZE,2019,60.28
Prevalence of overweight (% of adults),Azerbaijan,AZE,2018,59.82
Prevalence of overweight (% of adults),Azerbaijan,AZE,2017,59.34
Prevalence of overweight (% of adults),Azerbaijan,AZE,2016,58.85
Prevalence of overweight (% of adults),Azerbaijan,AZE,2015,58.34
Prevalence of overweight (% of adults),Azerbaijan,AZE,2014,57.82
Prevalence of overweight (% of adults),Azerbaijan,AZE,2013,57.28
Prevalence of overweight (% of adults),Azerbaijan,AZE,2012,56.72
Prevalence of overweight (% of adults),Azerbaijan,AZE,2011,56.13
Prevalence of overweight (% of adults),Azerbaijan,AZE,2010,55.52
Prevalence of overweight (% of adults),Azerbaijan,AZE,2009,54.88
Prevalence of overweight (% of adults),Azerbaijan,AZE,2008,54.24
Prevalence of overweight (% of adults),Azerbaijan,AZE,2007,53.58
Prevalence of overweight (% of adults),Azerbaijan,AZE,2006,52.9
Prevalence of overweight (% of adults),Azerbaijan,AZE,2005,52.21
Prevalence of overweight (% of adults),Azerbaijan,AZE,2004,51.51
Prevalence of overweight (% of adults),Azerbaijan,AZE,2003,50.78
Prevalence of overweight (% of adults),Azerbaijan,AZE,2002,50.04
Prevalence of overweight (% of adults),Azerbaijan,AZE,2001,49.29
Prevalence of overweight (% of adults),Azerbaijan,AZE,2000,48.54
Prevalence of overweight (% of adults),Azerbaijan,AZE,1999,47.78
Prevalence of overweight (% of adults),Azerbaijan,AZE,1998,47.03
Prevalence of overweight (% of adults),Azerbaijan,AZE,1997,46.31
