country,code,indicator
IDA only,IDX,Obesity
IDA only,IDX,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
IDA total,IDA,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Late-demographic dividend,LTE,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean,LCN,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (excluding high income),LAC,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Latin America & Caribbean (IDA & IBRD),TLA,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Least developed countries: UN classification,LDC,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low & middle income,LMY,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Low income,LIC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
Lower middle income,LMC,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (excluding high income),MNA,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle East & North Africa (IDA & IBRD),TMN,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
Middle income,MIC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
North America,NAC,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
OECD members,OED,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Other small states,OSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Pacific island small states,PSS,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Post-demographic dividend,PST,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Pre-demographic dividend,PRE,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
Small states,SST,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia,SAS,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
South Asia (IDA & IBRD),TSA,Obesity
Sub-Saharan Africa,SSF,Obesity
Sub-Saharan Africa,SSF,Obesity
Sub-Saharan Africa,SSF,Obesity
Sub-Saharan Africa,SSF,Obesity
Sub-Saharan Africa,SSF,Obesity
Sub-Saharan Africa,SSF,Obesity
Sub-Saharan Africa,SSF,Obesity
Sub-Saharan Africa,SSF,Obesity
Sub-Saharan Africa,SSF,Obesity
