Indicator Name,Country,Year,Value
Prevalence of overweight (% of adults),Albania,2004,54.34
Prevalence of overweight (% of adults),Albania,2003,53.87
Prevalence of overweight (% of adults),Albania,2002,53.41
Prevalence of overweight (% of adults),Albania,2001,52.97
Prevalence of overweight (% of adults),Albania,2000,52.56
Prevalence of overweight (% of adults),Albania,1999,52.18
Prevalence of overweight (% of adults),Albania,1998,51.84
Prevalence of overweight (% of adults),Albania,1997,51.52
Prevalence of overweight (% of adults),Albania,1996,51.24
Prevalence of overweight (% of adults),Albania,1995,50.99
Prevalence of overweight (% of adults),Albania,1994,50.75
Prevalence of overweight (% of adults),Albania,1993,50.52
Prevalence of overweight (% of adults),Albania,1992,50.29
Prevalence of overweight (% of adults),Albania,1991,50.07
Prevalence of overweight (% of adults),Albania,1990,49.84
Prevalence of overweight (% of adults),Algeria,2022,57.62
Prevalence of overweight (% of adults),Algeria,2021,56.94
Prevalence of overweight (% of adults),Algeria,2020,56.26
Prevalence of overweight (% of adults),Algeria,2019,55.58
Prevalence of overweight (% of adults),Algeria,2018,54.89
Prevalence of overweight (% of adults),Algeria,2017,54.19
Prevalence of overweight (% of adults),Algeria,2016,53.46
Prevalence of overweight (% of adults),Algeria,2015,52.71
Prevalence of overweight (% of adults),Algeria,2014,51.97
Prevalence of overweight (% of adults),Algeria,2013,51.23
Prevalence of overweight (% of adults),Algeria,2012,50.49
Prevalence of overweight (% of adults),Algeria,2011,49.77
Prevalence of overweight (% of adults),Algeria,2010,49.05
Prevalence of overweight (% of adults),Algeria,2009,48.34
Prevalence of overweight (% of adults),Algeria,2008,47.64
Prevalence of overweight (% of adults),Algeria,2007,46.95
Prevalence of overweight (% of adults),Algeria,2006,46.26
Prevalence of overweight (% of adults),Algeria,2005,45.57
Prevalence of overweight (% of adults),Algeria,2004,44.87
Prevalence of overweight (% of adults),Algeria,2003,44.17
Prevalence of overweight (% of adults),Algeria,2002,43.46
Prevalence of overweight (% of adults),Algeria,2001,42.76
Prevalence of overweight (% of adults),Algeria,2000,42.06
Prevalence of overweight (% of adults),Algeria,1999,41.36
Prevalence of overweight (% of adults),Algeria,1998,40.67
Prevalence of overweight (% of adults),Algeria,1997,40.02
Prevalence of overweight (% of adults),Algeria,1996,39.4
Prevalence of overweight (% of adults),Algeria,1995,38.79
Prevalence of overweight (% of adults),Algeria,1994,38.18
Prevalence of overweight (% of adults),Algeria,1993,37.59
Prevalence of overweight (% of adults),Algeria,1992,37.02
Prevalence of overweight (% of adults),Algeria,1991,36.45
Prevalence of overweight (% of adults),Algeria,1990,35.91
Prevalence of overweight (% of adults),American Samoa,2022,91.41
Prevalence of overweight (% of adults),American Samoa,2021,91.37
Prevalence of overweight (% of adults),American Samoa,2020,91.33
Prevalence of overweight (% of adults),American Samoa,2019,91.28
Prevalence of overweight (% of adults),American Samoa,2018,91.25
Prevalence of overweight (% of adults),American Samoa,2017,91.2
Prevalence of overweight (% of adults),American Samoa,2016,91.14
Prevalence of overweight (% of adults),American Samoa,2015,91.09
Prevalence of overweight (% of adults),American Samoa,2014,91.05
Prevalence of overweight (% of adults),American Samoa,2013,91
Prevalence of overweight (% of adults),American Samoa,2012,90.95
Prevalence of overweight (% of adults),American Samoa,2011,90.9
Prevalence of overweight (% of adults),American Samoa,2010,90.85
Prevalence of overweight (% of adults),American Samoa,2009,90.78
Prevalence of overweight (% of adults),American Samoa,2008,90.73
Prevalence of overweight (% of adults),American Samoa,2007,90.67
Prevalence of overweight (% of adults),American Samoa,2006,90.6
Prevalence of overweight (% of adults),American Samoa,2005,90.53
Prevalence of overweight (% of adults),American Samoa,2004,90.46
Prevalence of overweight (% of adults),American Samoa,2003,90.39
Prevalence of overweight (% of adults),American Samoa,2002,90.31
Prevalence of overweight (% of adults),American Samoa,2001,90.22
Prevalence of overweight (% of adults),American Samoa,2000,90.13
Prevalence of overweight (% of adults),American Samoa,1999,90.01
Prevalence of overweight (% of adults),American Samoa,1998,89.88
Prevalence of overweight (% of adults),American Samoa,1997,89.73
Prevalence of overweight (% of adults),American Samoa,1996,89.56
Prevalence of overweight (% of adults),American Samoa,1995,89.37
Prevalence of overweight (% of adults),American Samoa,1994,89.15
Prevalence of overweight (% of adults),American Samoa,1993,88.89
Prevalence of overweight (% of adults),American Samoa,1992,88.59
Prevalence of overweight (% of adults),American Samoa,1991,88.24
Prevalence of overweight (% of adults),American Samoa,1990,87.84
Prevalence of overweight (% of adults),Andorra,2022,48.17
Prevalence of overweight (% of adults),Andorra,2021,48.16
Prevalence of overweight (% of adults),Andorra,2020,48.14
Prevalence of overweight (% of adults),Andorra,2019,48.13
Prevalence of overweight (% of adults),Andorra,2018,48.13
Prevalence of overweight (% of adults),Andorra,2017,48.12
Prevalence of overweight (% of adults),Andorra,2016,48.11
Prevalence of overweight (% of adults),Andorra,2015,48.12
Prevalence of overweight (% of adults),Andorra,2014,48.15
Prevalence of overweight (% of adults),Andorra,2013,48.2
Prevalence of overweight (% of adults),Andorra,2012,48.24
Prevalence of overweight (% of adults),Andorra,2011,48.26
Prevalence of overweight (% of adults),Andorra,2010,48.3
Prevalence of overweight (% of adults),Andorra,2009,48.32
Prevalence of overweight (% of adults),Andorra,2008,48.3
Prevalence of overweight (% of adults),Andorra,2007,48.23
Prevalence of overweight (% of adults),Andorra,2006,48.11
Prevalence of overweight (% of adults),Andorra,2005,47.91
Prevalence of overweight (% of adults),Andorra,2004,47.64
Prevalence of overweight (% of adults),Andorra,2003,47.33
Prevalence of overweight (% of adults),Andorra,2002,47
Prevalence of overweight (% of adults),Andorra,2001,46.65
Prevalence of overweight (% of adults),Andorra,2000,46.31
Prevalence of overweight (% of adults),Andorra,1999,45.99
Prevalence of overweight (% of adults),Andorra,1998,45.66
Prevalence of overweight (% of adults),Andorra,1997,45.34
Prevalence of overweight (% of adults),Andorra,1996,45.02
Prevalence of overweight (% of adults),Andorra,1995,44.72
Prevalence of overweight (% of adults),Andorra,1994,44.43
Prevalence of overweight (% of adults),Andorra,1993,44.17
Prevalence of overweight (% of adults),Andorra,1992,43.92
Prevalence of overweight (% of adults),Andorra,1991,43.69
Prevalence of overweight (% of adults),Andorra,1990,43.46
Prevalence of overweight (% of adults),Angola,2022,31.78
Prevalence of overweight (% of adults),Angola,2021,31.25
Prevalence of overweight (% of adults),Angola,2020,30.73
Prevalence of overweight (% of adults),Angola,2019,30.22
Prevalence of overweight (% of adults),Angola,2018,29.73
Prevalence of overweight (% of adults),Angola,2017,29.25
Prevalence of overweight (% of adults),Angola,2016,28.77
Prevalence of overweight (% of adults),Angola,2015,28.31
Prevalence of overweight (% of adults),Angola,2014,27.85
Prevalence of overweight (% of adults),Angola,2013,27.4
Prevalence of overweight (% of adults),Angola,2012,26.96
Prevalence of overweight (% of adults),Angola,2011,26.5
Prevalence of overweight (% of adults),Angola,2010,26.03
Prevalence of overweight (% of adults),Angola,2009,25.53
Prevalence of overweight (% of adults),Angola,2008,25
Prevalence of overweight (% of adults),Angola,2007,24.43
Prevalence of overweight (% of adults),Angola,2006,23.84
Prevalence of overweight (% of adults),Angola,2005,23.22
Prevalence of overweight (% of adults),Angola,2004,22.58
Prevalence of overweight (% of adults),Angola,2003,21.93
Prevalence of overweight (% of adults),Angola,2002,21.26
Prevalence of overweight (% of adults),Angola,2001,20.59
Prevalence of overweight (% of adults),Angola,2000,19.92
Prevalence of overweight (% of adults),Angola,1999,19.26
Prevalence of overweight (% of adults),Angola,1998,18.6
Prevalence of overweight (% of adults),Angola,1997,17.97
Prevalence of overweight (% of adults),Angola,1996,17.35
Prevalence of overweight (% of adults),Angola,1995,16.74
Prevalence of overweight (% of adults),Angola,1994,16.15
Prevalence of overweight (% of adults),Angola,1993,15.57
Prevalence of overweight (% of adults),Angola,1992,15
Prevalence of overweight (% of adults),Angola,1991,14.45
Prevalence of overweight (% of adults),Angola,1990,13.91
Prevalence of overweight (% of adults),Antigua and Barbuda,2022,62.67
Prevalence of overweight (% of adults),Antigua and Barbuda,2021,62.1
Prevalence of overweight (% of adults),Antigua and Barbuda,2020,61.53
Prevalence of overweight (% of adults),Antigua and Barbuda,2019,60.96
Prevalence of overweight (% of adults),Antigua and Barbuda,2018,60.38
Prevalence of overweight (% of adults),Antigua and Barbuda,2017,59.8
Prevalence of overweight (% of adults),Antigua and Barbuda,2016,59.2
Prevalence of overweight (% of adults),Antigua and Barbuda,2015,58.6
Prevalence of overweight (% of adults),Antigua and Barbuda,2014,57.99
Prevalence of overweight (% of adults),Antigua and Barbuda,2013,57.37
Prevalence of overweight (% of adults),Antigua and Barbuda,2012,56.73
Prevalence of overweight (% of adults),Antigua and Barbuda,2011,56.07
Prevalence of overweight (% of adults),Antigua and Barbuda,2010,55.38
Prevalence of overweight (% of adults),Antigua and Barbuda,2009,54.67
Prevalence of overweight (% of adults),Antigua and Barbuda,2008,53.92
Prevalence of overweight (% of adults),Antigua and Barbuda,2007,53.15
Prevalence of overweight (% of adults),Antigua and Barbuda,2006,52.35
Prevalence of overweight (% of adults),Antigua and Barbuda,2005,51.53
Prevalence of overweight (% of adults),Antigua and Barbuda,2004,50.68
Prevalence of overweight (% of adults),Antigua and Barbuda,2003,49.8
Prevalence of overweight (% of adults),Antigua and Barbuda,2002,48.89
Prevalence of overweight (% of adults),Antigua and Barbuda,2001,47.95
Prevalence of overweight (% of adults),Antigua and Barbuda,2000,46.98
Prevalence of overweight (% of adults),Antigua and Barbuda,1999,45.99
Prevalence of overweight (% of adults),Antigua and Barbuda,1998,44.98
Prevalence of overweight (% of adults),Antigua and Barbuda,1997,43.97
Prevalence of overweight (% of adults),Antigua and Barbuda,1996,42.97
Prevalence of overweight (% of adults),Antigua and Barbuda,1995,41.99
Prevalence of overweight (% of adults),Antigua and Barbuda,1994,41.03
Prevalence of overweight (% of adults),Antigua and Barbuda,1993,40.09
Prevalence of overweight (% of adults),Antigua and Barbuda,1992,39.16
Prevalence of overweight (% of adults),Antigua and Barbuda,1991,38.27
Prevalence of overweight (% of adults),Antigua and Barbuda,1990,37.43
Prevalence of overweight (% of adults),Argentina,2022,68.42
Prevalence of overweight (% of adults),Argentina,2021,67.63
Prevalence of overweight (% of adults),Argentina,2020,66.84
Prevalence of overweight (% of adults),Argentina,2019,66.05
Prevalence of overweight (% of adults),Argentina,2018,65.26
Prevalence of overweight (% of adults),Argentina,2017,64.47
Prevalence of overweight (% of adults),Argentina,2016,63.67
Prevalence of overweight (% of adults),Argentina,2015,62.87
Prevalence of overweight (% of adults),Argentina,2014,62.07
Prevalence of overweight (% of adults),Argentina,2013,61.28
Prevalence of overweight (% of adults),Argentina,2012,60.49
Prevalence of overweight (% of adults),Argentina,2011,59.7
Prevalence of overweight (% of adults),Argentina,2010,58.93
Prevalence of overweight (% of adults),Argentina,2009,58.17
Prevalence of overweight (% of adults),Argentina,2008,57.43
Prevalence of overweight (% of adults),Argentina,2007,56.7
Prevalence of overweight (% of adults),Argentina,2006,55.97
Prevalence of overweight (% of adults),Argentina,2005,55.26
Prevalence of overweight (% of adults),Argentina,2004,54.54
Prevalence of overweight (% of adults),Argentina,2003,53.81
Prevalence of overweight (% of adults),Argentina,2002,53.09
Prevalence of overweight (% of adults),Argentina,2001,52.35
Prevalence of overweight (% of adults),Argentina,2000,51.6
Prevalence of overweight (% of adults),Argentina,1999,50.82
Prevalence of overweight (% of adults),Argentina,1998,50.02
Prevalence of overweight (% of adults),Argentina,1997,49.22
Prevalence of overweight (% of adults),Argentina,1996,48.4
Prevalence of overweight (% of adults),Argentina,1995,47.58
Prevalence of overweight (% of adults),Argentina,1994,46.75
Prevalence of overweight (% of adults),Argentina,1993,45.93
Prevalence of overweight (% of adults),Argentina,1992,45.1
Prevalence of overweight (% of adults),Argentina,1991,44.26
Prevalence of overweight (% of adults),Argentina,1990,43.43
Prevalence of overweight (% of adults),Armenia,2022,55.43
Prevalence of overweight (% of adults),Armenia,2021,54.97
Prevalence of overweight (% of adults),Armenia,2020,54.52
Prevalence of overweight (% of adults),Armenia,2019,54.07
Prevalence of overweight (% of adults),Armenia,2018,53.62
Prevalence of overweight (% of adults),Armenia,2017,53.17
Prevalence of overweight (% of adults),Armenia,2016,52.71
Prevalence of overweight (% of adults),Armenia,2015,52.24
Prevalence of overweight (% of adults),Armenia,2014,51.75
Prevalence of overweight (% of adults),Armenia,2013,51.26
Prevalence of overweight (% of adults),Armenia,2012,50.75
Prevalence of overweight (% of adults),Armenia,2011,50.23
Prevalence of overweight (% of adults),Armenia,2010,49.7
Prevalence of overweight (% of adults),Armenia,2009,49.16
Prevalence of overweight (% of adults),Armenia,2008,48.61
Prevalence of overweight (% of adults),Armenia,2007,48.05
Prevalence of overweight (% of adults),Armenia,2006,47.48
Prevalence of overweight (% of adults),Armenia,2005,46.91
Prevalence of overweight (% of adults),Armenia,2004,46.34
Prevalence of overweight (% of adults),Armenia,2003,45.76
Prevalence of overweight (% of adults),Armenia,2002,45.18
Prevalence of overweight (% of adults),Armenia,2001,44.6
Prevalence of overweight (% of adults),Armenia,2000,44.02
Prevalence of overweight (% of adults),Armenia,1999,43.44
Prevalence of overweight (% of adults),Armenia,1998,42.86
Prevalence of overweight (% of adults),Armenia,1997,42.29
Prevalence of overweight (% of adults),Armenia,1996,41.72
Prevalence of overweight (% of adults),Armenia,1995,41.15
Prevalence of overweight (% of adults),Armenia,1994,40.59
Prevalence of overweight (% of adults),Armenia,1993,40.02
Prevalence of overweight (% of adults),Armenia,1992,39.45
Prevalence of overweight (% of adults),Armenia,1991,38.9
Prevalence of overweight (% of adults),Armenia,1990,38.38
Prevalence of overweight (% of adults),Australia,2022,63.96
Prevalence of overweight (% of adults),Australia,2021,63.64
Prevalence of overweight (% of adults),Australia,2020,63.32
Prevalence of overweight (% of adults),Australia,2019,63
Prevalence of overweight (% of adults),Australia,2018,62.69
Prevalence of overweight (% of adults),Australia,2017,62.38
Prevalence of overweight (% of adults),Australia,2016,62.06
Prevalence of overweight (% of adults),Australia,2015,61.75
Prevalence of overweight (% of adults),Australia,2014,61.46
Prevalence of overweight (% of adults),Australia,2013,61.19
Prevalence of overweight (% of adults),Australia,2012,60.92
Prevalence of overweight (% of adults),Australia,2011,60.66
Prevalence of overweight (% of adults),Australia,2010,60.38
Prevalence of overweight (% of adults),Australia,2009,60.07
Prevalence of overweight (% of adults),Australia,2008,59.72
Prevalence of overweight (% of adults),Australia,2007,59.33
Prevalence of overweight (% of adults),Australia,2006,58.89
Prevalence of overweight (% of adults),Australia,2005,58.42
Prevalence of overweight (% of adults),Australia,2004,57.9
Prevalence of overweight (% of adults),Australia,2003,57.33
Prevalence of overweight (% of adults),Australia,2002,56.72
Prevalence of overweight (% of adults),Australia,2001,56.06
Prevalence of overweight (% of adults),Australia,2000,55.34
Prevalence of overweight (% of adults),Australia,1999,54.59
Prevalence of overweight (% of adults),Australia,1998,53.8
Prevalence of overweight (% of adults),Australia,1997,52.96
Prevalence of overweight (% of adults),Australia,1996,52.07
Prevalence of overweight (% of adults),Australia,1995,51.14
Prevalence of overweight (% of adults),Australia,1994,50.16
Prevalence of overweight (% of adults),Australia,1993,49.14
Prevalence of overweight (% of adults),Australia,1992,48.09
Prevalence of overweight (% of adults),Australia,1991,47.02
Prevalence of overweight (% of adults),Australia,1990,45.92
Prevalence of overweight (% of adults),Austria,2022,44.99
Prevalence of overweight (% of adults),Austria,2021,44.92
Prevalence of overweight (% of adults),Austria,2020,44.85
Prevalence of overweight (% of adults),Austria,2019,44.8
Prevalence of overweight (% of adults),Austria,2018,44.75
Prevalence of overweight (% of adults),Austria,2017,44.7
Prevalence of overweight (% of adults),Austria,2016,44.65
Prevalence of overweight (% of adults),Austria,2015,44.59
Prevalence of overweight (% of adults),Austria,2014,44.55
Prevalence of overweight (% of adults),Austria,2013,44.54
Prevalence of overweight (% of adults),Austria,2012,44.55
Prevalence of overweight (% of adults),Austria,2011,44.56
Prevalence of overweight (% of adults),Austria,2010,44.56
Prevalence of overweight (% of adults),Austria,2009,44.54
Prevalence of overweight (% of adults),Austria,2008,44.49
Prevalence of overweight (% of adults),Austria,2007,44.4
Prevalence of overweight (% of adults),Austria,2006,44.27
Prevalence of overweight (% of adults),Austria,2005,44.1
Prevalence of overweight (% of adults),Austria,2004,43.9
Prevalence of overweight (% of adults),Austria,2003,43.67
Prevalence of overweight (% of adults),Austria,2002,43.43
Prevalence of overweight (% of adults),Austria,2001,43.16
Prevalence of overweight (% of adults),Austria,2000,42.88
Prevalence of overweight (% of adults),Austria,1999,42.58
Prevalence of overweight (% of adults),Austria,1998,42.27
Prevalence of overweight (% of adults),Austria,1997,41.96
Prevalence of overweight (% of adults),Austria,1996,41.65
Prevalence of overweight (% of adults),Austria,1995,41.33
Prevalence of overweight (% of adults),Austria,1994,41.02
Prevalence of overweight (% of adults),Austria,1993,40.7
Prevalence of overweight (% of adults),Austria,1992,40.4
Prevalence of overweight (% of adults),Austria,1991,40.09
Prevalence of overweight (% of adults),Austria,1990,39.78
Prevalence of overweight (% of adults),Azerbaijan,2022,61.68
Prevalence of overweight (% of adults),Azerbaijan,2021,61.22
Prevalence of overweight (% of adults),Azerbaijan,2020,60.75
Prevalence of overweight (% of adults),Azerbaijan,2019,60.28
Prevalence of overweight (% of adults),Azerbaijan,2018,59.82
Prevalence of overweight (% of adults),Azerbaijan,2017,59.34
Prevalence of overweight (% of adults),Azerbaijan,2016,58.85
Prevalence of overweight (% of adults),Azerbaijan,2015,58.34
Prevalence of overweight (% of adults),Azerbaijan,2014,57.82
Prevalence of overweight (% of adults),Azerbaijan,2013,57.28
Prevalence of overweight (% of adults),Azerbaijan,2012,56.72
Prevalence of overweight (% of adults),Azerbaijan,2011,56.13
Prevalence of overweight (% of adults),Azerbaijan,2010,55.52
Prevalence of overweight (% of adults),Azerbaijan,2009,54.88
Prevalence of overweight (% of adults),Azerbaijan,2008,54.24
Prevalence of overweight (% of adults),Azerbaijan,2007,53.58
Prevalence of overweight (% of adults),Azerbaijan,2006,52.9
Prevalence of overweight (% of adults),Azerbaijan,2005,52.21
Prevalence of overweight (% of adults),Azerbaijan,2004,51.51
Prevalence of overweight (% of adults),Azerbaijan,2003,50.78
Prevalence of overweight (% of adults),Azerbaijan,2002,50.04
Prevalence of overweight (% of adults),Azerbaijan,2001,49.29
Prevalence of overweight (% of adults),Azerbaijan,2000,48.54
Prevalence of overweight (% of adults),Azerbaijan,1999,47.78
Prevalence of overweight (% of adults),Azerbaijan,1998,47.03
Prevalence of overweight (% of adults),Azerbaijan,1997,46.31
Prevalence of overweight (% of adults),Azerbaijan,1996,45.59
Prevalence of overweight (% of adults),Azerbaijan,1995,44.88
Prevalence of overweight (% of adults),Azerbaijan,1994,44.17
Prevalence of overweight (% of adults),Azerbaijan,1993,43.46
Prevalence of overweight (% of adults),Azerbaijan,1992,42.74
Prevalence of overweight (% of adults),Azerbaijan,1991,42.03
Prevalence of overweight (% of adults),Azerbaijan,1990,41.33
Prevalence of overweight (% of adults),"Bahamas, The",2022,75.79
Prevalence of overweight (% of adults),"Bahamas, The",2021,75.28
Prevalence of overweight (% of adults),"Bahamas, The",2020,74.76
Prevalence of overweight (% of adults),"Bahamas, The",2019,74.23
Prevalence of overweight (% of adults),"Bahamas, The",2018,73.68
Prevalence of overweight (% of adults),"Bahamas, The",2017,73.12
Prevalence of overweight (% of adults),"Bahamas, The",2016,72.53
Prevalence of overweight (% of adults),"Bahamas, The",2015,71.93
Prevalence of overweight (% of adults),"Bahamas, The",2014,71.3
Prevalence of overweight (% of adults),"Bahamas, The",2013,70.64
Prevalence of overweight (% of adults),"Bahamas, The",2012,69.96
Prevalence of overweight (% of adults),"Bahamas, The",2011,69.23
Prevalence of overweight (% of adults),"Bahamas, The",2010,68.46
Prevalence of overweight (% of adults),"Bahamas, The",2009,67.64
Prevalence of overweight (% of adults),"Bahamas, The",2008,66.78
Prevalence of overweight (% of adults),"Bahamas, The",2007,65.88
Prevalence of overweight (% of adults),"Bahamas, The",2006,64.94
Prevalence of overweight (% of adults),"Bahamas, The",2005,63.95
Prevalence of overweight (% of adults),"Bahamas, The",2004,62.91
Prevalence of overweight (% of adults),"Bahamas, The",2003,61.84
Prevalence of overweight (% of adults),"Bahamas, The",2002,60.72
Prevalence of overweight (% of adults),"Bahamas, The",2001,59.56
Prevalence of overweight (% of adults),"Bahamas, The",2000,58.36
Prevalence of overweight (% of adults),"Bahamas, The",1999,57.13
Prevalence of overweight (% of adults),"Bahamas, The",1998,55.87
Prevalence of overweight (% of adults),"Bahamas, The",1997,54.62
Prevalence of overweight (% of adults),"Bahamas, The",1996,53.36
Prevalence of overweight (% of adults),"Bahamas, The",1995,52.1
Prevalence of overweight (% of adults),"Bahamas, The",1994,50.85
Prevalence of overweight (% of adults),"Bahamas, The",1993,49.62
Prevalence of overweight (% of adults),"Bahamas, The",1992,48.41
Prevalence of overweight (% of adults),"Bahamas, The",1991,47.21
Prevalence of overweight (% of adults),"Bahamas, The",1990,46.03
Prevalence of overweight (% of adults),Bahrain,2022,68.69
Prevalence of overweight (% of adults),Bahrain,2021,68.35
Prevalence of overweight (% of adults),Bahrain,2020,68.01
Prevalence of overweight (% of adults),Bahrain,2019,67.65
Prevalence of overweight (% of adults),Bahrain,2018,67.29
Prevalence of overweight (% of adults),Bahrain,2017,66.9
Prevalence of overweight (% of adults),Bahrain,2016,66.49
Prevalence of overweight (% of adults),Bahrain,2015,66.05
Prevalence of overweight (% of adults),Bahrain,2014,65.59
Prevalence of overweight (% of adults),Bahrain,2013,65.12
Prevalence of overweight (% of adults),Bahrain,2012,64.64
Prevalence of overweight (% of adults),Bahrain,2011,64.14
Prevalence of overweight (% of adults),Bahrain,2010,63.62
Prevalence of overweight (% of adults),Bahrain,2009,63.08
Prevalence of overweight (% of adults),Bahrain,2008,62.51
Prevalence of overweight (% of adults),Bahrain,2007,61.91
Prevalence of overweight (% of adults),Bahrain,2006,61.3
Prevalence of overweight (% of adults),Bahrain,2005,60.65
Prevalence of overweight (% of adults),Bahrain,2004,59.97
Prevalence of overweight (% of adults),Bahrain,2003,59.24
Prevalence of overweight (% of adults),Bahrain,2002,58.45
Prevalence of overweight (% of adults),Bahrain,2001,57.59
Prevalence of overweight (% of adults),Bahrain,2000,56.71
Prevalence of overweight (% of adults),Bahrain,1999,55.79
Prevalence of overweight (% of adults),Bahrain,1998,54.86
Prevalence of overweight (% of adults),Bahrain,1997,53.91
Prevalence of overweight (% of adults),Bahrain,1996,52.95
Prevalence of overweight (% of adults),Bahrain,1995,51.99
Prevalence of overweight (% of adults),Bahrain,1994,51.02
Prevalence of overweight (% of adults),Bahrain,1993,50.05
Prevalence of overweight (% of adults),Bahrain,1992,49.09
Prevalence of overweight (% of adults),Bahrain,1991,48.12
Prevalence of overweight (% of adults),Bahrain,1990,47.15
Prevalence of overweight (% of adults),Bangladesh,2022,27.02
Prevalence of overweight (% of adults),Bangladesh,2021,25.82
Prevalence of overweight (% of adults),Bangladesh,2020,24.63
Prevalence of overweight (% of adults),Bangladesh,2019,23.44
Prevalence of overweight (% of adults),Bangladesh,2018,22.26
Prevalence of overweight (% of adults),Bangladesh,2017,21.09
Prevalence of overweight (% of adults),Bangladesh,2016,19.94
Prevalence of overweight (% of adults),Bangladesh,2015,18.81
Prevalence of overweight (% of adults),Bangladesh,2014,17.71
Prevalence of overweight (% of adults),Bangladesh,2013,16.65
Prevalence of overweight (% of adults),Bangladesh,2012,15.62
Prevalence of overweight (% of adults),Bangladesh,2011,14.63
Prevalence of overweight (% of adults),Bangladesh,2010,13.69
Prevalence of overweight (% of adults),Bangladesh,2009,12.78
Prevalence of overweight (% of adults),Bangladesh,2008,11.92
Prevalence of overweight (% of adults),Bangladesh,2007,11.11
Prevalence of overweight (% of adults),Bangladesh,2006,10.34
Prevalence of overweight (% of adults),Bangladesh,2005,9.62
Prevalence of overweight (% of adults),Bangladesh,2004,8.95
Prevalence of overweight (% of adults),Bangladesh,2003,8.33
Prevalence of overweight (% of adults),Bangladesh,2002,7.75
Prevalence of overweight (% of adults),Bangladesh,2001,7.22
Prevalence of overweight (% of adults),Bangladesh,2000,6.73
Prevalence of overweight (% of adults),Bangladesh,1999,6.28
Prevalence of overweight (% of adults),Bangladesh,1998,5.87
Prevalence of overweight (% of adults),Bangladesh,1997,5.49
Prevalence of overweight (% of adults),Bangladesh,1996,5.15
Prevalence of overweight (% of adults),Bangladesh,1995,4.83
Prevalence of overweight (% of adults),Bangladesh,1994,4.54
Prevalence of overweight (% of adults),Bangladesh,1993,4.27
Prevalence of overweight (% of adults),Bangladesh,1992,4.02
Prevalence of overweight (% of adults),Bangladesh,1991,3.79
Prevalence of overweight (% of adults),Bangladesh,1990,3.57
Prevalence of overweight (% of adults),Barbados,2022,67.16
Prevalence of overweight (% of adults),Barbados,2021,66.71
Prevalence of overweight (% of adults),Barbados,2020,66.26
Prevalence of overweight (% of adults),Barbados,2019,65.81
Prevalence of overweight (% of adults),Barbados,2018,65.35
Prevalence of overweight (% of adults),Barbados,2017,64.88
Prevalence of overweight (% of adults),Barbados,2016,64.4
Prevalence of overweight (% of adults),Barbados,2015,63.92
Prevalence of overweight (% of adults),Barbados,2014,63.42
Prevalence of overweight (% of adults),Barbados,2013,62.92
Prevalence of overweight (% of adults),Barbados,2012,62.41
Prevalence of overweight (% of adults),Barbados,2011,61.88
Prevalence of overweight (% of adults),Barbados,2010,61.33
Prevalence of overweight (% of adults),Barbados,2009,60.75
Prevalence of overweight (% of adults),Barbados,2008,60.15
Prevalence of overweight (% of adults),Barbados,2007,59.53
Prevalence of overweight (% of adults),Barbados,2006,58.88
Prevalence of overweight (% of adults),Barbados,2005,58.22
Prevalence of overweight (% of adults),Barbados,2004,57.55
Prevalence of overweight (% of adults),Barbados,2003,56.85
Prevalence of overweight (% of adults),Barbados,2002,56.13
Prevalence of overweight (% of adults),Barbados,2001,55.41
Prevalence of overweight (% of adults),Barbados,2000,54.67
Prevalence of overweight (% of adults),Barbados,1999,53.93
Prevalence of overweight (% of adults),Barbados,1998,53.18
Prevalence of overweight (% of adults),Barbados,1997,52.45
Prevalence of overweight (% of adults),Barbados,1996,51.73
Prevalence of overweight (% of adults),Barbados,1995,51.03
Prevalence of overweight (% of adults),Barbados,1994,50.35
Prevalence of overweight (% of adults),Barbados,1993,49.68
Prevalence of overweight (% of adults),Barbados,1992,49.02
Prevalence of overweight (% of adults),Barbados,1991,48.38
Prevalence of overweight (% of adults),Barbados,1990,47.75
Prevalence of overweight (% of adults),Belarus,2022,55.42
Prevalence of overweight (% of adults),Belarus,2021,55.25
Prevalence of overweight (% of adults),Belarus,2020,55.08
Prevalence of overweight (% of adults),Belarus,2019,54.91
Prevalence of overweight (% of adults),Belarus,2018,54.74
Prevalence of overweight (% of adults),Belarus,2017,54.57
Prevalence of overweight (% of adults),Belarus,2016,54.38
Prevalence of overweight (% of adults),Belarus,2015,54.18
Prevalence of overweight (% of adults),Belarus,2014,53.98
Prevalence of overweight (% of adults),Belarus,2013,53.77
Prevalence of overweight (% of adults),Belarus,2012,53.55
Prevalence of overweight (% of adults),Belarus,2011,53.32
Prevalence of overweight (% of adults),Belarus,2010,53.07
Prevalence of overweight (% of adults),Belarus,2009,52.8
Prevalence of overweight (% of adults),Belarus,2008,52.5
Prevalence of overweight (% of adults),Belarus,2007,52.18
Prevalence of overweight (% of adults),Belarus,2006,51.84
Prevalence of overweight (% of adults),Belarus,2005,51.49
Prevalence of overweight (% of adults),Belarus,2004,51.12
Prevalence of overweight (% of adults),Belarus,2003,50.76
Prevalence of overweight (% of adults),Belarus,2002,50.39
Prevalence of overweight (% of adults),Belarus,2001,50.04
Prevalence of overweight (% of adults),Belarus,2000,49.72
Prevalence of overweight (% of adults),Belarus,1999,49.42
